Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
9395,B006N3IG4K,AB0EQA6NXOYZA,"Karen Solomon Dunn ""Homebody""",3,3,4,1287964800,Well-rounded but weak,"I've read so many reviews on the many brands and varieties of K-cups... coffee preferences are so subjective.  I did like the flavor of this coffee -- bold but not bitter.  As to ""strength"" I wish that there was more coffee in each K-cup... I am accustomed to Starbuck's strength, and I have to set my Keurig to medium-cup size to get the strength I need.  This is not as cost-effective as -- say Jet Fuel (but I found Jet Fuel too bitter.)<br />If Wolfgang Puck would add more coffee to its K-cups, this would be a perfect coffee for me."
899,B002DXZI40,AYZZSRYAIXNOS,"I Heart Amazon ""I heart Shopping""",0,0,5,1296432000,I can't take the smell,"The product is all that it says it is which is why I gave it 5 stars.  However, I do have issues with the product, namely, me and my family members can't take the smell.  The taste is horrible so I put it in a lotion cream and rubbed it on my skin.  This was a few weeks ago and though I've since changed my sheets, the scent is still in my bed.  Ultimately, I stopped using it because it made me smell in a way I did not like.  It smells like an Indian spice and while it didn't work for me, scent-wise, it may work fine with someone else."
2399,B0089SPDUW,A2MP7KWDQ2JVT,Fun1prn,1,1,5,1336867200,"Caribou Coffee, Mahogany","Very Smooth Rich flavor even on the largest setting, dark blend a very satisfying cup of coffee. I will recommend this to my friends.  This product arrived on time well packaged."
5907,B003KLSZGW,A97UPBVI4VCBR,"B. Drutar ""surfmaster""",2,4,5,1316217600,GOOD FOR YOU IN EVERY WAY,"I subscribe to these now & switch around to the different flavors sometimes. High in fiber and trace minerals, I mostly eat these with diffeent flavors of sardines (kippers), tuna, and anything else that would go good with any other crackers. This is part of my change to a healthier diet, that I started about 6 years ago, now at age fifty. My blood pressure & cholesteral are the best they have ever been. My dentist has even stated my gums are looking healthier (no more bleeding gums) a first for me. On line with the teeth issue, these probably are to hard for those with loose or weak teeth. But if you want a decently tasty cracker, to replace bad snacking habits, their probably isn't anything better. I first came across these at Jason's Deli, so I googled them and read reviews as you are doing now.If you are not sure if you will like them try getting them at your local deli. They usually have a couple of flavors and are the smaller cracker not flatbread, but taste the same. Also over the years I have modified what I eat, first I started as a lo-carber, mostly eating my favorite meats etc., but my triglicerides were always high, so I started adding sardines & more nuts & fruits, skipping more often some of my favorites like fried chicken. But have found excellent & flavorful alternatives, dark chocolate Almonds, some Sara Lee breads, lo-carb brands of tortillas.I still fall off once in a while & eat out often, but always get back on course. I feel better and healthier & actually enjoy & look forward to eating all the varieties of foods I've painstakingly researched over the years. Which I keep on hand, so as not to eat bad too often."
2344,B002SOR6VM,APCP3DKCQVP5V,JJA,0,0,5,1308441600,JJA,My Dogs love this natural kibble.  It's simple (only rice and protein) yet tasty.  They maintain a healthy weight and have regular and healthy bowl movements.  Wellness is a fantastic product for dogs because they keep in mind the many ingredients that are not natural to a dog's diet and keep it out of their food.
8226,B000BXUVYG,A39IQ3WA92L1ZH,taclary,0,0,1,1344384000,Sick Cats,"I have fed my 2 cats these treats the last 2 days.  Within 5 minutes of eating them, they are both throwing up.  I will be going back to the Three Dog Bakery Treats.  Expensive but have never made my cats sick.  Why is the company not responding to so many bad reviews?"
5507,B001HTJEZ0,AUB9ZINVEJXZZ,may,0,1,5,1338163200,delicious,It is great thin and tasty brown rice. Just follow the recipe on the packet and it cooks perfect. Thank you.
6452,B000FNEX50,A1G2KWKK44V3CV,Ryan J. Nardiello,7,7,5,1158796800,From a person with a very limited diet,I agree with everything that the previous reviewer wrote in their review.  I gave the cookies a rating of 5 stars though because i havent eaten a cookie in about 4 years without getting sick.  This is because I have severe allergies to wheat and soy.  Pretty much every cookie you will find in a normal grocery store will have one if not both of these ingrediants.  So when I found Nana's cookies I was as happy as can be.  Yes the texture is different than a wheat cookie but it's better than going without cookies.  It also doesnt hurt that these cookies are delicious.  If you are like me and have a very limited diet these cookies are  a very welcome addition to that diet.
2671,B0016FY6H6,A12RI7T2PXO4JQ,Sammirah,1,2,5,1261958400,Lightly sweet and cheeper than an Jamba Juice Matcha Shot!,I used to always go to Jamba Juice for the Match green tea shots...after trying this iced green tea powder I was hooked.  This flavor is lightly sweetend and the raspberry and pomegranate flavors are just subtle enough to not mask the true flavor of the green tea.  I don't mind the funny green color...after all it's green tea.
3498,B005K4Q1VI,A3Q307658TBYCR,Shirley A Sluskonis,1,1,5,1326326400,Great,"Best K-cup hot cocoa on the market, bar none. Would not be without it in the house, especially with the winter months coming."
